tokenId,Wings,Tail,Body,Legs,Head,Horns,Eyes,domain,color,replceable,replaced,Names,Generation
1,17,17,17,17,17,17,17,0,11,2,,Schumar,1
2,21,21,21,21,21,21,21,0,11,3,,Voodel,1
3,23,23,23,23,23,23,23,1,11,2,,Llotsu,1
4,5,5,5,5,5,5,5,1,11,2,,Mosinhood,1
5,1,1,1,1,1,1,1,2,11,1,,Rosalia,1
6,13,13,13,13,13,13,13,2,11,0,,Maiev,1
7,2,2,2,2,2,2,2,3,11,3,,Wulle,1
8,4,4,4,4,4,4,4,3,11,4,,Queolord,1
9,17,21,21,21,21,17,21,0,10,4,,Hatthycha,2
10,21,21,17,17,17,17,17,0,10,2,,Soobuq,2
11,21,21,17,17,21,17,21,0,10,3,,Chevrurst,2
12,21,15,15,21,21,21,15,0,10,2,,Lleaphaw,2
13,15,15,17,17,15,15,15,0,10,3,,Waugharr,2
14,15,17,17,17,17,17,15,0,10,2,,Strepham,2
15,23,22,23,23,23,23,23,1,10,3,,Maqueline,2
16,22,22,22,23,22,23,22,1,10,4,,Dwalin,2
17,23,23,5,23,23,5,23,1,10,1,,Nayludh,2
18,5,22,5,22,22,22,22,1,10,3,,Schytsu,2
19,22,22,22,5,22,22,22,1,10,3,,Yeer,2
20,22,23,22,22,22,22,22,1,10,3,,Qoth,2
21,1,1,1,3,3,1,3,2,10,1,,Lletsay,2
22,1,3,1,3,1,3,1,2,10,1,,Yadar,2
23,3,13,13,3,3,13,13,2,10,0,,Swaywuth,2
24,1,13,13,1,1,1,13,2,10,1,,Searphoor,2
25,13,13,1,1,13,13,13,2,10,0,,Couryn,2
26,1,3,1,1,3,1,3,2,10,1,,Myrgand,2
27,4,2,2,4,2,2,2,3,10,2,,Kellahon,2
28,2,2,4,4,4,4,4,3,10,4,,Kaeergro,2
29,20,4,4,4,20,20,4,3,10,4,,Siar,2
30,2,4,2,4,2,2,2,3,10,3,,Tasbuche,2
31,20,20,4,4,4,20,4,3,10,4,,Daruyuth,2
32,2,2,2,4,2,2,4,3,10,2,,Draquekim,2
33,19,21,15,21,19,21,21,0,7,3,,Delschibel,3
34,15,18,18,18,18,15,19,0,1,2,,Seeloodd,3
35,15,15,15,17,9,15,15,0,4,2,,Cheyshy,3
36,18,15,18,18,15,9,18,0,1,1,,Trique,3
37,18,9,18,9,19,9,9,0,4,1,,Vaoorkdda,3
38,18,19,15,18,19,18,19,0,1,2,,Bimos,3
39,9,9,15,17,17,15,15,0,2,1,,Nord,3
40,15,21,17,17,17,17,15,0,1,3,,Skelagar,3
41,17,9,9,9,15,9,17,0,2,1,,Banytoth,3
42,17,18,19,19,18,18,17,0,9,3,,Turguhon,3
43,18,19,9,19,18,18,19,0,0,2,,Nalf,3
44,15,17,19,19,19,17,17,0,6,4,,Soohyun,3
45,17,18,21,21,21,18,17,0,3,3,,Raystraden,3
46,21,18,18,18,17,18,17,0,0,1,,Neithoph,3
47,19,9,9,9,18,19,9,0,4,1,,Stroiloodd,3
48,18,19,9,9,9,19,19,0,9,1,,Cleuleth,3
49,15,15,18,15,21,21,15,0,4,3,,Taiixooth,3
50,18,17,17,17,9,9,9,0,9,0,,Cisay,3
51,9,21,17,17,17,21,21,0,9,2,,Roth,3
52,17,17,9,18,17,18,18,0,7,3,,Yaukwad,3
53,19,19,19,17,19,18,17,0,6,2,,Darllaryn,3
54,18,18,19,21,18,18,21,0,3,1,,Stewhard,3
55,21,21,18,19,21,19,19,0,9,4,,Raadraph,3
56,15,18,9,18,15,9,18,0,7,2,,Smarpha,3
57,8,23,7,8,8,23,7,1,1,3,,Yeehin,3
58,12,12,12,7,8,12,8,1,4,4,,Taykwerd,3
59,12,7,7,23,12,23,7,1,5,2,,Swoowhard,3
60,12,5,23,5,23,12,5,1,2,3,,Tanequth,3
61,7,7,23,7,5,5,7,1,9,3,,Xaat,3
62,12,8,8,12,12,8,22,1,5,2,,Rayvotai,3
63,7,7,23,12,23,7,12,1,7,4,,Tiaihurk,3
64,7,5,7,7,8,7,7,1,2,4,,Threper,3
65,7,5,7,22,7,7,7,1,4,4,,Nycrunal,3
66,8,8,8,22,7,8,8,1,8,3,,Kinstevor,3
67,7,7,22,22,7,8,7,1,1,4,,Cleicha,3
68,5,12,12,5,7,12,7,1,2,4,,Rodthrycha,3
69,5,22,5,12,12,5,22,1,2,2,,Drautat,3
70,7,7,12,12,23,12,23,1,9,4,,Skelkuyer,3
71,7,7,22,8,22,7,7,1,2,4,,Whuirux,3
72,12,8,8,12,7,8,12,1,3,4,,Qoelf,3
73,5,5,5,23,5,8,23,1,3,2,,Rodysoq,3
74,22,7,22,7,12,7,12,1,4,4,,Zhewoorph,3
75,8,23,23,23,23,22,8,1,4,1,,Chowuth,3
76,23,23,22,22,22,5,22,1,1,3,,Radyfooth,3
77,8,22,8,7,7,22,7,1,5,4,,Sayizoth,3
78,8,7,7,8,8,5,8,1,5,2,,Laurnoth,3
79,22,7,12,22,7,12,22,1,6,4,,Haiercro,3
80,22,23,12,22,22,23,22,1,3,4,,Whookolf,3
81,13,10,13,3,10,3,3,2,8,0,,Belizuth,3
82,14,24,14,14,10,24,10,2,6,1,,Honstumos,3
83,24,24,24,14,13,13,24,2,8,1,,Samyidar,3
84,10,1,1,10,13,13,1,2,6,0,,Drubur,3
85,24,13,10,10,24,13,10,2,2,2,,Deargand,3
86,1,24,1,1,13,13,1,2,6,1,,Blebur,3
87,13,13,10,1,10,10,10,2,2,0,,Rodeford,3
88,3,14,14,24,14,3,24,2,2,2,,Miephar,3
89,1,10,10,10,1,1,24,2,6,1,,Leyrgand,3
90,14,3,1,1,1,1,1,2,9,0,,Creuhin,3
91,3,14,3,10,3,10,3,2,8,0,,Deluruth,3
92,10,1,10,1,3,3,3,2,2,0,,Radditin,3
93,14,13,14,1,14,13,14,2,4,2,,Garbrutai,3
94,1,13,14,13,13,14,1,2,3,1,,Sauthbro,3
95,3,10,10,3,3,1,1,2,5,0,,Wywham,3
96,13,24,24,1,13,1,1,2,4,0,,Qeat,3
97,3,10,14,10,10,14,14,2,5,1,,Veryveer,3
98,13,10,14,13,14,10,13,2,3,1,,Felpith,3
99,3,1,1,24,24,24,24,2,9,3,,Ealfolph,3
100,1,1,1,14,1,13,13,2,7,1,,Thranguir,3
101,10,1,10,3,10,10,3,2,8,0,,Ladwood,3
102,3,14,14,13,13,14,14,2,3,1,,Fuibuq,3
103,14,13,1,14,14,1,13,2,3,1,,Geloodd,3
104,3,3,14,14,13,13,3,2,0,0,,Tuor,3
105,6,2,4,6,4,4,6,3,0,3,,Loowhard,3
106,6,2,2,11,2,6,2,3,3,2,,Honmalor,3
107,2,4,16,4,16,2,2,3,4,3,,Blaygha,3
108,6,2,2,6,20,2,20,3,2,2,,Rayujoq,3
109,16,4,6,16,4,16,16,3,6,3,,Paepol,3
110,6,20,11,11,6,11,6,3,9,2,,Thruvrurst,3
111,11,6,4,11,6,6,6,3,1,3,,Yergand,3
112,20,20,11,16,11,16,16,3,3,2,,Gaegharr,3
113,20,2,2,6,2,2,20,3,6,2,,Tanadurk,3
114,2,2,4,4,20,20,20,3,6,4,,Kelchretia,3
115,6,2,2,6,16,2,2,3,9,1,,Vark,3
116,20,2,2,20,11,11,11,3,3,2,,Hairgand,3
117,16,16,2,4,4,4,16,3,3,1,,Jeque,3
118,6,6,6,2,6,20,2,3,3,2,,Hinirark,3
119,6,20,6,11,6,6,20,3,0,2,,Nuilye,3
120,4,16,2,16,4,2,2,3,1,4,,Suloplar,3
121,16,6,6,20,16,16,20,3,5,1,,Luiwham,3
122,20,20,11,2,11,2,2,3,1,3,,Sulbrybel,3
123,6,2,16,2,6,16,2,3,1,2,,Byves,3
124,6,11,2,2,11,6,2,3,0,3,,Zhezuka,3
125,16,6,16,16,6,20,16,3,7,1,,Nysthradar,3
126,4,11,11,4,2,2,11,3,0,1,,Cripham,3
127,4,6,11,11,11,11,11,3,6,2,,Phuitin,3
128,11,2,11,16,2,2,2,3,8,2,,Workabur,3
129,2r,16r,19r,1r,21r,4r,15r,4,0,10,Rainbow,Arcobalen,7
130,19g,15g,14g,5g,18g,17g,17g,0,0,11,Gold,Goldoth,6
131,3i,5i,11i,4i,8i,23i,2i,1,0,0,Ice,Glacen,7
132,11j,3j,3j,14j,6j,1j,7j,1,0,0,Invisible,Vvsh,6
133,1,1,9h,1h,6,17,5h,4,0,0,Hoodie,Rahoodie,6
134,3,24m,9,22,24,17,17,2,4,0,Mother (tail on the right),Mother,6
135,1C,3C,1C,12C,13C,6C,13C,0,0,0,Fire cub,Fuoco,5
136,12C,5C,10C,13C,9C,1C,1C,1,0,0,Air cub,Aria,6
137,4C,8C,6C,7C,3C,8C,12C,2,0,0,Water cub,Aqua,6
138,10C,2C,4C,11C,7C,10C,7C,3,0,0,Earth cub,Terra,5
139,22,10,12b,4,16,14,10,1,3,1,L03E012,Yeawuth,6
140,1,15,17,4,3,7b,20b,0,4,3,"L07E020,L06E007",Turvadra,7
141,6,20,24,13,9,6b,21,1,1,1,L06E006,Thaurnoth,7
142,1,22,8,19,5,13,19,0,3,4,,Threynal,6
143,4,19,6,4,23,24,19,3,8,2,,Toracoo,5
144,10,14,19,1,11,15b,22,0,8,1,L06E015,Tualfcro,7
145,22,21,21,8,20,4,2,3,5,3,,Qiier,6
146,12,5,3,14,24b,15,18b,0,4,3,"L07E018,L05E024",Danyashy,7
147,14,1,14,15,5b,5,21,2,4,1,L05E005,Querhuler,6
148,18,9,2,17,14,3,12,0,0,2,,Thrando,7
149,20,15,22,18,23,23,8,1,2,3,,Phoovrurst,6
150,12,8,10,4,2,7,12,2,0,3,,Cheykoo,6
151,15,10,10,3,4,20,24,1,9,2,,Deikolf,6
152,16,18,3,24,21,6,10,0,4,3,,Diwoorph,7
153,7,12,14,9,6,24,22,2,1,3,,Danoxeer,7
154,4,23,13,13,22,15,13,1,2,3,,Draelelf,5
155,18,18,19,24,9,18,19,3,1,2,,Jewhud,4
156,18,9,20,1,1,23,3,3,1,1,,Rauddh,6
157,14,14,16,1,21,18,18,1,7,3,,Meyrgand,5
158,11,24,20,23,21,7,2,2,2,3,,Rhydalf,7
159,2,12,15,4,6,11,19,0,5,3,,Gooth,7
160,6,20,5,13,24,4,9,3,2,1,,Chauden,7
161,23,8,8,7,6,19,14,1,6,3,,Lloirgand,6
162,18,11,2,18,11,18,13,1,3,1,,Fooork,4
163,1,10,20,21,11,16,14,3,2,2,,Ferphoor,7
164,5,23,10,24b,17,6b,7,3,6,3,"L06E006,L04E024",Swoerjond,7
165,9,13,16,11,10,15b,13,3,9,1,L06E015,Ror,6
166,20,8,10,1,11,9,7,3,7,1,,Nudalf,7
167,24,13,11,5,12,9,13,2,9,1,,Footh,6
168,17,12,11,5,19,7,21,0,1,4,,Swirland,7
169,20,12,9,14,12,15,20,0,8,4,,Feloodd,5
170,19,3,19,12,6,7,7,0,7,2,,Nyokurk,5
171,4b,17,3,19,21b,21b,18b,1,5,3,"L06E021,L07E018,L05E021,L01E004",Komodo,6
172,10,18,5,13,19,8,9,3,7,1,,Bloleth,7
173,9,3,3,9,2,24b,19,0,7,1,L06E024,Craetsu,5
174,8,21,7,16,17,10,8,2,1,3,,Belixuth,6
175,18,1,11,11,2,11b,9,1,9,1,L06E011,Phouler,6
176,5,21,3,12,10,13,2,2,2,3,,Belpiton,7
177,12,7,14,22,3,18,19,3,3,3,,Wariqier,7
178,5,22,7,17,13,23,15,0,1,2,,Crayrjond,7
179,11,1,7,24,3,22,20,0,2,2,,Tonyjoq,7
180,22,4,18,22,21,2,2,0,6,4,,Rotheblar,5
